From,To,Overlap
Properties.java,AbstractBooleanAssert.java,0.18992248062015504
AbstractBooleanAssert.java,Tuple.java,0.10396039603960396
Tuple.java,AbstractBooleanAssert.java,0.10396039603960396
AbstractBooleanAssert.java,AbstractComparisonStrategy.java,0.16883116883116883
AbstractComparisonStrategy.java,AbstractBooleanAssert.java,0.16883116883116883
AbstractBooleanAssert.java,Arrays.java,0.04745762711864407
Arrays.java,AbstractBooleanAssert.java,0.04745762711864407
AbstractBooleanAssert.java,Booleans.java,0.1813953488372093
Booleans.java,AbstractBooleanAssert.java,0.1813953488372093
AbstractBooleanAssert.java,Characters.java,0.18309859154929578
Characters.java,AbstractBooleanAssert.java,0.18309859154929578
AbstractBooleanAssert.java,CommonValidations.java,0.07394366197183098
CommonValidations.java,AbstractBooleanAssert.java,0.07394366197183098
AbstractBooleanAssert.java,Comparables.java,0.11031175059952038
Comparables.java,AbstractBooleanAssert.java,0.11031175059952038
AbstractBooleanAssert.java,ComparatorBasedComparisonStrategy.java,0.12232415902140673
ComparatorBasedComparisonStrategy.java,AbstractBooleanAssert.java,0.12232415902140673
AbstractBooleanAssert.java,Conditions.java,0.1320754716981132
Conditions.java,AbstractBooleanAssert.java,0.1320754716981132
AbstractBooleanAssert.java,Failures.java,0.12885154061624648
Failures.java,AbstractBooleanAssert.java,0.12885154061624648
AbstractBooleanAssert.java,Integers.java,0.20689655172413793
Integers.java,AbstractBooleanAssert.java,0.20689655172413793
AbstractBooleanAssert.java,IterableDiff.java,0.09900990099009901
IterableDiff.java,AbstractBooleanAssert.java,0.09900990099009901
AbstractBooleanAssert.java,Iterables.java,0.03440187646598905
Iterables.java,AbstractBooleanAssert.java,0.03440187646598905
AbstractBooleanAssert.java,Lists.java,0.11352657004830918
Lists.java,AbstractBooleanAssert.java,0.11352657004830918
AbstractBooleanAssert.java,Numbers.java,0.11508951406649616
Numbers.java,AbstractBooleanAssert.java,0.11508951406649616
AbstractBooleanAssert.java,Objects.java,0.04291417165668663
Objects.java,AbstractBooleanAssert.java,0.04291417165668663
AbstractBooleanAssert.java,Predicates.java,0.17391304347826086
Predicates.java,AbstractBooleanAssert.java,0.17391304347826086
AbstractBooleanAssert.java,StandardComparisonStrategy.java,0.12269938650306748
StandardComparisonStrategy.java,AbstractBooleanAssert.java,0.12269938650306748
AbstractBooleanAssert.java,Strings.java,0.044965786901270774
Strings.java,AbstractBooleanAssert.java,0.044965786901270774
AbstractBooleanAssert.java,Throwables.java,0.1018957345971564
Throwables.java,AbstractBooleanAssert.java,0.1018957345971564
AbstractBooleanAssert.java,TypeComparators.java,0.14705882352941177
TypeComparators.java,AbstractBooleanAssert.java,0.14705882352941177
AbstractBooleanAssert.java,StandardRepresentation.java,0.07186544342507645
StandardRepresentation.java,AbstractBooleanAssert.java,0.07186544342507645
AbstractBooleanAssert.java,Arrays.java,0.12380952380952381
Arrays.java,AbstractBooleanAssert.java,0.12380952380952381
AbstractBooleanAssert.java,ArrayWrapperList.java,0.16444444444444445
ArrayWrapperList.java,AbstractBooleanAssert.java,0.16444444444444445
AbstractBooleanAssert.java,DateUtil.java,0.07806691449814127
DateUtil.java,AbstractBooleanAssert.java,0.07806691449814127
AbstractBooleanAssert.java,ClassUtils.java,0.19369369369369369
ClassUtils.java,AbstractBooleanAssert.java,0.19369369369369369
AbstractBooleanAssert.java,FieldSupport.java,0.12215909090909091
FieldSupport.java,AbstractBooleanAssert.java,0.12215909090909091
AbstractBooleanAssert.java,FieldUtils.java,0.13380281690140844
FieldUtils.java,AbstractBooleanAssert.java,0.13380281690140844
AbstractBooleanAssert.java,Introspection.java,0.15416666666666667
Introspection.java,AbstractBooleanAssert.java,0.15416666666666667
AbstractBooleanAssert.java,MemberUtils.java,0.07547169811320754
MemberUtils.java,AbstractBooleanAssert.java,0.07547169811320754
AbstractBooleanAssert.java,PropertyOrFieldSupport.java,0.09361702127659574
PropertyOrFieldSupport.java,AbstractBooleanAssert.java,0.09361702127659574
AbstractBooleanAssert.java,PropertySupport.java,0.12640449438202248
PropertySupport.java,AbstractBooleanAssert.java,0.12640449438202248
AbstractBooleanAssert.java,IterableUtil.java,0.16602316602316602
IterableUtil.java,AbstractBooleanAssert.java,0.16602316602316602
AbstractBooleanAssert.java,Lists.java,0.16806722689075632
Lists.java,AbstractBooleanAssert.java,0.16806722689075632
AbstractBooleanAssert.java,Objects.java,0.13545816733067728
Objects.java,AbstractBooleanAssert.java,0.13545816733067728
AbstractBooleanAssert.java,Preconditions.java,0.1541095890410959
Preconditions.java,AbstractBooleanAssert.java,0.1541095890410959
AbstractBooleanAssert.java,Strings.java,0.10569105691056911
Strings.java,AbstractBooleanAssert.java,0.10569105691056911
AbstractBooleanAssert.java,Throwables.java,0.1597222222222222
Throwables.java,AbstractBooleanAssert.java,0.1597222222222222
AbstractBooleanAssert.java,Assertions_assertThat_with_Boolean_Test.java,0.13714285714285715
Assertions_assertThat_with_Boolean_Test.java,AbstractBooleanAssert.java,0.13714285714285715
AbstractBooleanAssert.java,Assertions_assertThat_with_Character_Test.java,0.13636363636363635
Assertions_assertThat_with_Character_Test.java,AbstractBooleanAssert.java,0.13636363636363635
AbstractBooleanAssert.java,Assertions_tuple_Test.java,0.12727272727272726
Assertions_tuple_Test.java,AbstractBooleanAssert.java,0.12727272727272726
AbstractBooleanAssert.java,TestCondition.java,0.14594594594594595
TestCondition.java,AbstractBooleanAssert.java,0.14594594594594595
AbstractBooleanAssert.java,AnyOf_matches_Test.java,0.12041884816753927
AnyOf_matches_Test.java,AbstractBooleanAssert.java,0.12041884816753927
AbstractBooleanAssert.java,MapEntry_toString_Test.java,0.12
MapEntry_toString_Test.java,AbstractBooleanAssert.java,0.12
AbstractBooleanAssert.java,TextDescription_constructor_Test.java,0.12834224598930483
TextDescription_constructor_Test.java,AbstractBooleanAssert.java,0.12834224598930483
AbstractBooleanAssert.java,ShouldNotHaveDuplicates_create_Test.java,0.11794871794871795
ShouldNotHaveDuplicates_create_Test.java,AbstractBooleanAssert.java,0.11794871794871795
AbstractBooleanAssert.java,ByNameSingleExtractorTest.java,0.06134969325153374
ByNameSingleExtractorTest.java,AbstractBooleanAssert.java,0.06134969325153374
AbstractBooleanAssert.java,Properties_extractProperty_Test.java,0.11009174311926606
Properties_extractProperty_Test.java,AbstractBooleanAssert.java,0.11009174311926606
AbstractBooleanAssert.java,StandardComparisonStrategy_stringContains_Test.java,0.12941176470588237
StandardComparisonStrategy_stringContains_Test.java,AbstractBooleanAssert.java,0.12941176470588237
AbstractBooleanAssert.java,TypeComparators_Test.java,0.07720588235294118
TypeComparators_Test.java,AbstractBooleanAssert.java,0.07720588235294118
AbstractBooleanAssert.java,ClassBasedNavigableIterable_Test.java,0.12
ClassBasedNavigableIterable_Test.java,AbstractBooleanAssert.java,0.12
AbstractBooleanAssert.java,GenericNavigableAssert_Test.java,0.0851063829787234
GenericNavigableAssert_Test.java,AbstractBooleanAssert.java,0.0851063829787234
AbstractBooleanAssert.java,AbstractBaseRepresentationTest.java,0.11834319526627218
AbstractBaseRepresentationTest.java,AbstractBooleanAssert.java,0.11834319526627218
AbstractBooleanAssert.java,StandardRepresentation_toStringOf_Test.java,0.04468085106382979
StandardRepresentation_toStringOf_Test.java,AbstractBooleanAssert.java,0.04468085106382979
AbstractBooleanAssert.java,Employee.java,0.10426540284360189
Employee.java,AbstractBooleanAssert.java,0.10426540284360189
AbstractBooleanAssert.java,ExpectedException.java,0.06666666666666667
ExpectedException.java,AbstractBooleanAssert.java,0.06666666666666667
AbstractBooleanAssert.java,Name.java,0.09691629955947137
Name.java,AbstractBooleanAssert.java,0.09691629955947137
AbstractBooleanAssert.java,VehicleAssert.java,0.11299435028248588
VehicleAssert.java,AbstractBooleanAssert.java,0.11299435028248588
AbstractBooleanAssert.java,VehicleFactory.java,0.11827956989247312
VehicleFactory.java,AbstractBooleanAssert.java,0.11827956989247312
AbstractBooleanAssert.java,Arrays_hasOnlyNullElements_Test.java,0.12041884816753927
Arrays_hasOnlyNullElements_Test.java,AbstractBooleanAssert.java,0.12041884816753927
AbstractBooleanAssert.java,Employee.java,0.11052631578947368
Employee.java,AbstractBooleanAssert.java,0.11052631578947368
AbstractBooleanAssert.java,OtherStringTestComparator.java,0.13253012048192772
OtherStringTestComparator.java,AbstractBooleanAssert.java,0.13253012048192772
AbstractBooleanAssert.java,OtherStringTestComparatorWithAt.java,0.13253012048192772
OtherStringTestComparatorWithAt.java,AbstractBooleanAssert.java,0.13253012048192772
AbstractCharSequenceAssert.java,AbstractCharSequenceAssert.java,0.0
AbstractCharSequenceAssert.java,AbstractCharSequenceAssert.java,0.0
AbstractCharSequenceAssert.java,AbstractIntegerAssert.java,0.2812113720642769
AbstractIntegerAssert.java,AbstractCharSequenceAssert.java,0.2812113720642769
AbstractCharSequenceAssert.java,AbstractIterableAssert.java,0.1148577449947313
AbstractIterableAssert.java,AbstractCharSequenceAssert.java,0.1148577449947313
AbstractCharSequenceAssert.java,AbstractListAssert.java,0.2809587217043941
AbstractListAssert.java,AbstractCharSequenceAssert.java,0.2809587217043941
AbstractCharSequenceAssert.java,AbstractObjectAssert.java,0.2371864776444929
AbstractObjectAssert.java,AbstractCharSequenceAssert.java,0.2371864776444929
AbstractCharSequenceAssert.java,Assertions.java,0.09283346085182352
Assertions.java,AbstractCharSequenceAssert.java,0.09283346085182352
AbstractCharSequenceAssert.java,AssertionsForClassTypes.java,0.12390003519887363
AssertionsForClassTypes.java,AbstractCharSequenceAssert.java,0.12390003519887363
AbstractCharSequenceAssert.java,AssertionsForInterfaceTypes.java,0.2065359477124183
AssertionsForInterfaceTypes.java,AbstractCharSequenceAssert.java,0.2065359477124183
AbstractCharSequenceAssert.java,ClassBasedNavigableIterableAssert.java,0.05550952775476388
ClassBasedNavigableIterableAssert.java,AbstractCharSequenceAssert.java,0.05550952775476388
AbstractCharSequenceAssert.java,Condition.java,0.21915708812260537
Condition.java,AbstractCharSequenceAssert.java,0.21915708812260537
AbstractCharSequenceAssert.java,ListAssert.java,0.0850480109739369
ListAssert.java,AbstractCharSequenceAssert.java,0.0850480109739369
AbstractCharSequenceAssert.java,WritableAssertionInfo.java,0.16180981595092025
WritableAssertionInfo.java,AbstractCharSequenceAssert.java,0.16180981595092025
AbstractCharSequenceAssert.java,AnyOf.java,0.180999180999181
AnyOf.java,AbstractCharSequenceAssert.java,0.180999180999181
AbstractCharSequenceAssert.java,Join.java,0.13039934800325997
Join.java,AbstractCharSequenceAssert.java,0.13039934800325997
AbstractCharSequenceAssert.java,ConfigurationProvider.java,0.12835570469798657
ConfigurationProvider.java,AbstractCharSequenceAssert.java,0.12835570469798657
AbstractCharSequenceAssert.java,Services.java,0.05298570227081581
Services.java,AbstractCharSequenceAssert.java,0.05298570227081581
AbstractCharSequenceAssert.java,MapEntry.java,0.16868442292171107
MapEntry.java,AbstractCharSequenceAssert.java,0.16868442292171107
AbstractCharSequenceAssert.java,Description.java,0.14093959731543623
Description.java,AbstractCharSequenceAssert.java,0.14093959731543623
AbstractCharSequenceAssert.java,TextDescription.java,0.17448559670781894
TextDescription.java,AbstractCharSequenceAssert.java,0.17448559670781894
AbstractCharSequenceAssert.java,BasicErrorMessageFactory.java,0.16831683168316833
BasicErrorMessageFactory.java,AbstractCharSequenceAssert.java,0.16831683168316833
AbstractCharSequenceAssert.java,ConstructorInvoker.java,0.05550952775476388
ConstructorInvoker.java,AbstractCharSequenceAssert.java,0.05550952775476388
AbstractCharSequenceAssert.java,DescriptionFormatter.java,0.1315570358034971
DescriptionFormatter.java,AbstractCharSequenceAssert.java,0.1315570358034971
AbstractCharSequenceAssert.java,MessageFormatter.java,0.17100977198697068
MessageFormatter.java,AbstractCharSequenceAssert.java,0.17100977198697068
AbstractCharSequenceAssert.java,ShouldBeBetween.java,0.1233974358974359
ShouldBeBetween.java,AbstractCharSequenceAssert.java,0.1233974358974359
AbstractCharSequenceAssert.java,ShouldBeEqual.java,0.19452449567723343
ShouldBeEqual.java,AbstractCharSequenceAssert.java,0.19452449567723343
AbstractCharSequenceAssert.java,ShouldNotHaveDuplicates.java,0.13083333333333333
ShouldNotHaveDuplicates.java,AbstractCharSequenceAssert.java,0.13083333333333333
AbstractCharSequenceAssert.java,ByNameSingleExtractor.java,0.06359832635983263
