Class,LOC,Wheighted Method Count
org/assertj/core/error/ShouldBeEqualIgnoringCase,15,2
org/assertj/core/error/ShouldBeEqualIgnoringHours,14,2
org/assertj/core/error/ShouldBeEqualIgnoringMinutes,32,6
org/assertj/core/error/ShouldBeEqualIgnoringNanos,31,6
org/assertj/core/error/ShouldBeEqualIgnoringNewLineDifferences,13,2
org/assertj/core/error/ShouldBeEqualIgnoringSeconds,32,6
org/assertj/core/error/ShouldBeEqualIgnoringTimezone,18,3
org/assertj/core/error/ShouldBeEqualIgnoringWhitespace,14,2
org/assertj/core/error/ShouldBeEqualNormalizingWhitespace,14,2
org/assertj/core/error/ShouldBeEqualToIgnoringFields,21,8
org/assertj/core/error/ShouldBeEqualWithinOffset,10,2
org/assertj/core/error/ShouldBeEqualWithinPercentage,14,2
org/assertj/core/error/ShouldBeEqualWithTimePrecision,21,7
org/assertj/core/error/ShouldBeExactlyInstanceOf,13,4
org/assertj/core/error/ShouldBeExecutable,16,4
org/assertj/core/error/ShouldBeFile,11,2
org/assertj/core/error/ShouldBeGreater,14,3
org/assertj/core/error/ShouldBeGreaterOrEqual,14,3
org/assertj/core/error/ShouldBeIn,17,3
org/assertj/core/error/ShouldBeInSameDay,14,2
org/assertj/core/error/ShouldBeInSameHour,14,2
org/assertj/core/error/ShouldBeInSameHourWindow,19,2
org/assertj/core/error/ShouldBeInSameMinute,14,2
org/assertj/core/error/ShouldBeInSameMinuteWindow,19,2
org/assertj/core/error/ShouldBeInSameMonth,14,2
org/assertj/core/error/ShouldBeInSameSecond,14,2
org/assertj/core/error/ShouldBeInSameSecondWindow,19,2
org/assertj/core/error/ShouldBeInSameYear,14,2
org/assertj/core/error/ShouldBeInstance,18,6
org/assertj/core/error/ShouldBeInstanceOfAny,13,4
org/assertj/core/error/ShouldBeInterface,21,4
org/assertj/core/error/ShouldBeInTheFuture,16,3
org/assertj/core/error/ShouldBeInThePast,16,3
org/assertj/core/error/ShouldBeLess,14,3
org/assertj/core/error/ShouldBeLessOrEqual,14,3
org/assertj/core/error/ShouldBeLowerCase,11,2
org/assertj/core/error/ShouldBeMarked,16,4
org/assertj/core/error/ShouldBeNormalized,10,2
org/assertj/core/error/ShouldBeNullOrEmpty,11,2
org/assertj/core/error/ShouldBeOfClassIn,15,2
