MethodName,CallDepth,AlwaysUsed
816.checkIsNotNull,49,false
817.assertNotNull,49,false
818.instance,50,true
819.assertNotNull,50,false
820.sizeOf,49,false
821.checkNotNull,50,true
822.assertHasSameSizeAs,49,false
823.assertNotNull,50,false
824.instance,51,true
825.assertNotNull,51,false
826.assertIsArray,50,false
827.isArray,51,false
828.sizeOf,50,false
829.checkNotNull,51,true
830.hasSameSizeAsCheck,50,false
831.checkOtherIsNotNull,51,false
832.checkNotNull,52,true
833.checkSameSizes,51,false
834.newArrayList,49,false
835.newArrayList,50,false
836.diff,49,false
837.unexpectedElements,50,false
838.iterableContains,51,false
839.iterableContains,52,false
840.areEqual,53,false
841.areEqual,54,false
842.iterableContains,51,false
843.iterableContains,52,false
844.areEqual,53,false
845.areEqual,54,false
846.missingElements,50,false
847.iterableContains,51,false
848.iterableContains,52,false
849.areEqual,53,false
850.areEqual,54,false
851.iterableContains,51,false
852.iterableContains,52,false
853.areEqual,53,false
854.areEqual,54,false
855.differencesFound,49,false
856.areEqual,49,false
857.areEqual,50,false
858.areEqual,51,false
859.areEqual,49,false
860.areEqual,50,false
861.areEqual,51,false
862.assertThat,46,true
863.assertThat,47,true
864.instance,48,true
865.instance,48,true
866.representation,48,true
867.useRepresentation,48,true
868.checkNotNull,49,true
869.instance,48,true
870.instance,48,true
871.extracting,46,false
872.byName,47,false
873.extract,47,false
874.checkObjectToExtractFromIsNotNull,48,false
875.newArrayList,48,false
876.extract,48,false
877.checkArgument,49,false
878.checkArgument,49,false
879.checkArgument,49,false
880.extract,48,false
881.checkArgument,49,false
882.checkArgument,49,false
883.checkArgument,49,false
884.extractedDescriptionOf,47,false
885.join,48,false
886.with,48,false
887.with,49,false
888.checkArgument,50,false
889.isNullOrEmpty,50,false
890.isEmpty,51,false
891.description,47,false
892.mostRelevantDescription,47,false
893.newListAssertInstance,47,false
894.instance,48,true
895.instance,48,true
896.representation,48,true
897.useRepresentation,48,true
898.checkNotNull,49,true
899.instance,48,true
900.instance,48,true
901.as,47,false
902.as,48,false
903.as,49,false
904.describedAs,50,false
905.describedAs,51,false
906.describedAs,52,false
907.description,53,false
908.isNullOrEmpty,54,false
909.isEmpty,55,false
910.containsExactly,46,false
911.containsExactly,47,false
912.assertContainsExactly,48,false
913.checkIsNotNull,49,false
914.assertNotNull,49,false
915.instance,50,true
916.assertNotNull,50,false
917.sizeOf,49,false
918.checkNotNull,50,true
919.assertHasSameSizeAs,49,false
920.assertNotNull,50,false
921.instance,51,true
922.assertNotNull,51,false
923.assertIsArray,50,false
924.isArray,51,false
925.sizeOf,50,false
926.checkNotNull,51,true
927.hasSameSizeAsCheck,50,false
928.checkOtherIsNotNull,51,false
929.checkNotNull,52,true
930.checkSameSizes,51,false
931.newArrayList,49,false
932.newArrayList,50,false
933.diff,49,false
934.unexpectedElements,50,false
935.iterableContains,51,false
936.iterableContains,52,false
