org.jfree.chart.plot.XYPlot  ,  findRangeAxisIndex  ,  [class org.jfree.chart.axis.ValueAxis]  ,10
org.jfree.chart.plot.Plot  ,  getParent  ,  []  ,10
org.jfree.chart.plot.XYPlot  ,  getRendererForDataset  ,  [interface org.jfree.data.xy.XYDataset]  ,9
org.jfree.chart.plot.XYPlot  ,  indexOf  ,  [interface org.jfree.data.xy.XYDataset]  ,10
org.jfree.chart.plot.XYPlot  ,  getRenderer  ,  []  ,10
org.jfree.chart.plot.XYPlot  ,  getRenderer  ,  [int]  ,11
org.jfree.data.general.DatasetUtils  ,  findDomainBounds  ,  [interface org.jfree.data.xy.XYDataset]  ,9
org.jfree.data.general.DatasetUtils  ,  findDomainBounds  ,  [interface org.jfree.data.xy.XYDataset- boolean]  ,10
org.jfree.chart.util.Args  ,  nullNotPermitted  ,  [class java.lang.Object- class java.lang.String]  ,11
org.jfree.data.xy.XYSeriesCollection  ,  getDomainBounds  ,  [boolean]  ,11
org.jfree.data.xy.IntervalXYDelegate  ,  getDomainBounds  ,  [boolean]  ,12
org.jfree.data.general.DatasetUtils  ,  findDomainBounds  ,  [interface org.jfree.data.xy.XYDataset- boolean]  ,13
org.jfree.chart.util.Args  ,  nullNotPermitted  ,  [class java.lang.Object- class java.lang.String]  ,14
org.jfree.data.xy.XYSeriesCollection  ,  getDomainBounds  ,  [boolean]  ,14
org.jfree.data.xy.XYSeriesCollection  ,  getSeriesCount  ,  []  ,15
org.jfree.data.xy.XYSeriesCollection  ,  getSeries  ,  [int]  ,15
org.jfree.data.xy.XYSeriesCollection  ,  getSeriesCount  ,  []  ,16
org.jfree.data.xy.XYSeries  ,  getMinX  ,  []  ,15
org.jfree.data.xy.XYSeries  ,  getMaxX  ,  []  ,15
org.jfree.data.xy.IntervalXYDelegate  ,  getIntervalWidth  ,  []  ,13
org.jfree.data.xy.IntervalXYDelegate  ,  isAutoWidth  ,  []  ,14
org.jfree.data.xy.IntervalXYDelegate  ,  getIntervalPositionFactor  ,  []  ,13
org.jfree.data.xy.IntervalXYDelegate  ,  getIntervalWidth  ,  []  ,13
org.jfree.data.xy.IntervalXYDelegate  ,  isAutoWidth  ,  []  ,14
org.jfree.data.Range  ,  getLowerBound  ,  []  ,13
org.jfree.data.Range  ,  getUpperBound  ,  []  ,13
org.jfree.data.Range  ,  combine  ,  [class org.jfree.data.Range- class org.jfree.data.Range]  ,9
org.jfree.data.Range  ,  getUpperBound  ,  []  ,8
org.jfree.data.Range  ,  getLowerBound  ,  []  ,8
org.jfree.chart.axis.NumberAxis  ,  getAutoRangeIncludesZero  ,  []  ,8
org.jfree.chart.axis.ValueAxis  ,  getFixedAutoRange  ,  []  ,8
org.jfree.chart.axis.ValueAxis  ,  getAutoRangeMinimumSize  ,  []  ,8
org.jfree.chart.axis.NumberAxis  ,  getAutoRangeStickyZero  ,  []  ,8
org.jfree.chart.axis.ValueAxis  ,  getUpperMargin  ,  []  ,8
org.jfree.chart.axis.ValueAxis  ,  getLowerMargin  ,  []  ,8
org.jfree.chart.axis.ValueAxis  ,  setRange  ,  [class org.jfree.data.Range- boolean- boolean]  ,8
org.jfree.chart.util.Args  ,  nullNotPermitted  ,  [class java.lang.Object- class java.lang.String]  ,9
org.jfree.data.Range  ,  getLength  ,  []  ,9
org.jfree.chart.axis.Axis  ,  addChangeListener  ,  [interface org.jfree.chart.event.AxisChangeListener]  ,5
org.jfree.chart.plot.XYPlot  ,  mapDatasetToRangeAxis  ,  [int- int]  ,5
org.jfree.chart.plot.XYPlot  ,  mapDatasetToRangeAxes  ,  [int- interface java.util.List]  ,6
org.jfree.chart.util.Args  ,  requireNonNegative  ,  [int- class java.lang.String]  ,7
org.jfree.chart.plot.XYPlot  ,  checkAxisIndices  ,  [interface java.util.List]  ,7
org.jfree.chart.plot.XYPlot  ,  getDataset  ,  [int]  ,7
org.jfree.chart.plot.XYPlot  ,  datasetChanged  ,  [class org.jfree.data.general.DatasetChangeEvent]  ,7
org.jfree.chart.plot.XYPlot  ,  configureDomainAxes  ,  []  ,8
org.jfree.chart.axis.NumberAxis  ,  configure  ,  []  ,9
org.jfree.chart.axis.ValueAxis  ,  isAutoRange  ,  []  ,10
org.jfree.chart.axis.NumberAxis  ,  autoAdjustRange  ,  []  ,10
org.jfree.chart.axis.Axis  ,  getPlot  ,  []  ,11
org.jfree.chart.plot.XYPlot  ,  getDataRange  ,  [class org.jfree.chart.axis.ValueAxis]  ,11
org.jfree.chart.plot.XYPlot  ,  getDomainAxisIndex  ,  [class org.jfree.chart.axis.ValueAxis]  ,12
org.jfree.chart.plot.XYPlot  ,  findDomainAxisIndex  ,  [class org.jfree.chart.axis.ValueAxis]  ,13
org.jfree.chart.plot.XYPlot  ,  getDatasetsMappedToDomainAxis  ,  [class java.lang.Integer]  ,12
org.jfree.chart.util.Args  ,  nullNotPermitted  ,  [class java.lang.Object- class java.lang.String]  ,13
org.jfree.chart.plot.XYPlot  ,  getRangeAxisIndex  ,  [class org.jfree.chart.axis.ValueAxis]  ,12
org.jfree.chart.plot.XYPlot  ,  findRangeAxisIndex  ,  [class org.jfree.chart.axis.ValueAxis]  ,13
org.jfree.chart.plot.Plot  ,  getParent  ,  []  ,13
org.jfree.chart.plot.XYPlot  ,  getRendererForDataset  ,  [interface org.jfree.data.xy.XYDataset]  ,12
org.jfree.chart.plot.XYPlot  ,  indexOf  ,  [interface org.jfree.data.xy.XYDataset]  ,13
org.jfree.chart.plot.XYPlot  ,  getRenderer  ,  []  ,13
org.jfree.chart.plot.XYPlot  ,  getRenderer  ,  [int]  ,14
org.jfree.data.general.DatasetUtils  ,  findDomainBounds  ,  [interface org.jfree.data.xy.XYDataset]  ,12
org.jfree.data.general.DatasetUtils  ,  findDomainBounds  ,  [interface org.jfree.data.xy.XYDataset- boolean]  ,13
